DAY_OF_WEEK,DATE,OPPONENT,HOME_OR_AWAY,LOCATION,TIME_PT,WIN_OR_LOSS,MATCHES_WON,MATCHES_LOST
6,8/29/2014,Portland State,A,"Boise, ID",18:00,W,3,0
7,9/30/2014,Gonzaga,A,"Boise, ID",11:00,W,3,2
7,8/30/2014,Boise State,A,"Boise, ID",16:00,W,3,0
6,9/5/2014,Brigham Young,A,"Provo, UT",18:00,W,3,2
7,9/6/2014,Utah Valley,A,"Provo, UT",9:00,W,3,0
7,9/6/2014,UMBC,A,"Provo, UT",16:00,W,3,0
5,9/11/2014,Seattle,H,"Seattle, WA",19:00,W,3,0
6,9/12/2014,UC Davis,H,"Seattle, WA",13:00,W,3,0
6,9/12/2014,UNLV,H,"Seattle, WA",19:00,W,3,0
5,9/18/2014,Maryland,H,"Seattle, WA",20:00,W,3,0
6,9/19/2014,Wisconsin,H,"Seattle, WA",20:00,W,3,2
4,9/24/2014,Washington State,H,"Seattle, WA",19:30,W,3,0
6,9/26/2014,California,A,"Berkeley, CA",20:00,W,3,2
4,10/1/2014,USC,H,"Seattle, WA",19:30,W,3,0
6,10/3/2014,UCLA,H,"Seattle, WA",19:00,W,3,2
6,10/10/2014,Oregon State,A,"Corvallis, OR",18:00,W,3,1
1,10/12/2014,Oregon,A,"Eugene, OR",11:00,W,3,1
6,10/17/2014,Arizo State,A,"Tempe, AZ",18:00,W,3,0
1,10/19/2014,Arizo,A,"Tucson, AZ",15:00,W,3,1
6,10/24/2014,Utah,H,"Seattle, WA",20:00,W,3,0
1,10/26/2014,Colorado,H,"Seattle, WA",13:00,W,3,0
4,10/29/2014,USC,A,"Los Angeles, CA",19:30,W,3,0
6,10/31/2014,UCLA,A,"Los Angeles, CA",18:00,W,3,0
6,11/7/2014,Oregon,H,"Seattle, WA",19:30,W,3,0
1,11/9/2014,Oregon State,H,"Seattle, WA",17:00,W,3,0
5,11/13/2014,Colorado,A,"Boulder, CO",17:00,L,2,2
7,11/15/2014,Utah,A,"Salt Lake City, UT",18:00,L,2,2
6,11/21/2014,Arizo,H,"Seattle, WA",20:00,W,3,0
1,11/23/2014,Arizo State,H,"Seattle, WA",11:00,W,3,0
4,11/26/2014,Stanford,H,"Seattle, WA",17:00,W,3,1
6,11/28/2014,Washington State,A,"Pullman, WA",17:00,W,3,0
,,,,,,,,
,http://www.gohuskies.com/SportSelect.dbml?DB_OEM_ID=30200&SPID=126624&SPSID=777512,,,,,,,
